time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.432873,0.138021,-0.000057,0.012553,-0.795770,0.000000,5.000000,0.000000,0.000000,45.450523,45.403220,46.100557,46.150912,0.264870,-0.000023,4.000000,0.000000
0.100000,1.555585,0.266796,-0.000212,1.742551,-0.554354,0.000000,9.000000,0.000000,0.000000,45.441367,45.465782,46.108186,46.089876,0.264870,-0.000029,8.000000,0.000000
0.150000,2.899995,0.362683,-0.000392,3.335754,-0.299202,0.000000,7.000000,0.000000,0.000000,46.407263,46.330968,45.142290,45.223163,0.264870,-0.000033,8.000000,0.000000
0.200000,3.278100,0.395071,-0.000440,3.650850,-0.143490,0.000000,3.000000,0.000000,0.000000,45.668727,45.651942,45.883879,45.900664,0.264870,0.000004,4.000000,0.000000
0.250000,2.872186,0.424917,-0.000431,3.082759,-0.228107,0.000000,1.000000,0.000000,0.000000,44.971389,45.120928,46.581216,46.431678,0.264870,0.000005,1.000000,0.000000
0.300000,2.795238,0.463093,-0.000424,3.107657,-0.048644,0.000000,5.000000,0.000000,0.000000,45.410849,45.304036,46.141756,46.248569,0.264870,-0.000001,5.000000,0.000000
0.350000,3.544410,0.468267,-0.000438,3.600498,0.000737,0.000000,10.000000,0.000000,0.000000,45.497826,45.316243,46.054780,46.236362,0.264870,-0.000004,9.000000,0.000000
0.399000,4.484232,0.467281,-0.000441,4.587712,0.032310,0.000000,6.000000,0.000000,0.000000,46.240940,46.227207,45.311666,45.325399,0.264870,-0.000002,7.000000,0.000000
0.449000,4.501660,0.435752,-0.000449,4.470754,0.222604,0.000000,2.000000,0.000000,0.000000,46.271458,46.256199,45.281147,45.296407,0.264870,-0.000003,3.000000,0.000000
0.499000,3.799469,0.458303,-0.000470,3.553370,0.200980,0.000000,0.000000,2.000000,0.000000,45.845731,45.656519,45.706874,45.896086,0.264870,0.000012,0.000000,0.000000
0.549000,3.117669,1.070814,-0.000121,2.872576,0.842545,0.000000,0.000000,6.000000,0.000000,45.159075,46.176852,46.401160,45.368124,0.264870,0.000110,0.000000,0.000000
0.599000,2.574497,2.290824,0.000606,2.280899,2.309892,0.000000,0.000000,10.000000,0.000000,45.322347,46.208896,46.242466,45.331502,0.264870,0.000161,0.000000,0.000000
0.649000,2.175579,3.269272,0.001270,1.515239,3.937073,0.000000,0.000000,5.000000,0.000000,46.608682,44.838636,44.950027,46.707866,0.264870,0.000083,0.000000,0.000000
0.699000,1.856138,3.266808,0.001388,1.430511,3.607571,0.000000,0.000000,1.000000,0.000000,46.323339,45.241474,45.229267,46.311131,0.264870,0.000000,0.000000,0.000000
0.749000,1.587251,2.812780,0.001266,1.128618,2.852691,0.000000,0.000000,3.000000,0.000000,44.988174,46.523232,46.562905,45.030900,0.264870,-0.000028,0.000000,0.000000
0.799000,1.378692,3.121231,0.001280,0.818493,3.210344,0.000000,0.000000,7.000000,0.000000,45.969329,45.587854,45.584802,45.963226,0.264870,0.000015,0.000000,0.000000
0.849000,1.212489,4.039893,0.001442,0.696817,4.277386,0.000000,0.000000,9.000000,0.000000,46.681926,44.820325,44.873732,46.729229,0.264870,0.000046,0.000000,0.000000
0.899000,1.079580,4.579496,0.001578,0.784521,4.638299,0.000000,0.000000,5.000000,0.000000,46.388952,45.226215,45.165179,46.324865,0.264870,0.000014,0.000000,0.000000
0.949000,0.935258,4.278127,0.001569,0.693064,4.605157,0.000000,0.000000,0.000000,0.000000,46.343175,45.217060,45.209430,46.335546,0.264870,-0.000009,0.000000,0.000000
